Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
Assamese Pineapple,fruit,444,13.1,66.7,30.8,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Fennel seed,spice,306,0.7,29.6,22.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Saffron,spice,261,17.1,7.9,34.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Brinjal (eggplant),vegetable,577,18,51.6,3,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Bengali Hyderabadi Peanut (groundnut),nuts_seeds,302,3.8,9.8,42.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Gujarati Jowar (sorghum),grains,485,1.8,17,32,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Fenugreek seed,spice,41,1,26.7,49.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Apple,fruit,52,0.3,14,0.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Rajasthani Hyderabadi Peanut (groundnut),nuts_seeds,598,4.1,66.4,27.7,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Black gram,legumes,241,16.3,18.6,38.7,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian Nutmeg,spice,22,5.5,78.7,49.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani Black pepper,spice,255,10.4,64,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Paratha (plain),snack,573,5,14,33.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,46,2.6,28.7,39.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Hyderabadi Urad dal,legumes,351,0.3,21.2,6.3,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian Coconut oil,oil,451,10.5,59.7,23.8,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Gujarati Sesame oil,oil,390,10.3,8.7,25.2,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Hyderabadi Punjabi Apple,fruit,64,14.5,72.7,32.9,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Rajasthani Kashmiri Hyderabadi Urad dal,legumes,328,9.2,77.1,3,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Idli,snack,510,16.9,34.1,5.4,Mixed,Heating,Pungent,Increases Kapha and Pitta
North Indian Punjabi Mustard greens (sarson),vegetable,474,1.5,6.5,30.4,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Ragi (finger millet),grains,87,2.5,49.9,29.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Assamese Jowar (sorghum),grains,352,7.6,47.8,14.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Moong dal,legumes,537,12.1,7.9,35.1,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian Rajasthani Black pepper,spice,584,14.4,17.2,22.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Nutmeg,spice,253,8.3,66.2,19.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani Tamarind,spice,117,6.3,25,12.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani Banana (ripe),fruit,176,13.7,37.9,4.6,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Black pepper,spice,255,10.4,64,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Fenugreek seed,spice,107,1.9,7.7,36.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Almond,nuts_seeds,579,21.2,21.6,49.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Punjabi Idli,snack,153,11.1,46.9,28.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
Assamese Groundnut oil,oil,357,13.4,32.9,43.7,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Rajasthani Dry ginger,spice,453,17.4,57.7,48.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Milk (cow),dairy,60,3.2,5,3.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Rajasthani Chana dal,legumes,339,7,46.2,10.6,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Gujarati South Indian Brinjal (eggplant),vegetable,513,4.5,8.7,42.3,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Paneer,dairy,396,2.3,22.3,11.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Jalebi,sweet,459,16.9,78,40.9,Sweet,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Punjabi Black pepper,spice,590,0.5,74.3,41.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Rajasthani Kashmiri Hyderabadi Urad dal,legumes,293,0.6,21.9,38.1,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Bengali Mustard oil,oil,884,0,0,100,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Assamese Cashew,nuts_seeds,367,7,14.5,7.2,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Punjabi Jalebi,sweet,430,1.4,59.3,48.6,Sweet,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi North Indian Nutmeg,spice,113,14.9,17.2,21,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani South Indian Brinjal (eggplant),vegetable,369,3.1,24.9,16.2,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Bengali Dry ginger,spice,106,17.7,12.4,37.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Maharashtrian Punjabi Idli,snack,70,13.5,21.8,33.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian Papaya,fruit,517,12.1,33.1,10.8,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Custard apple,fruit,544,2.3,34.4,14.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Cumin (jeera),spice,375,17.8,44.2,22.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Paneer,dairy,518,10.5,24.7,11,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,76,0.2,24.1,10.6,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese North Indian Punjabi Mustard greens (sarson),vegetable,160,15.3,23.2,6,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Peanut (groundnut),nuts_seeds,529,14.9,14.1,19,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Wheat (atta),grains,255,10,66.7,40.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
North Indian Lemon water,beverage,93,7.9,59.4,21.8,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Maharashtrian Poha,snack,490,18.4,69,28.8,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Cumin (jeera),spice,375,17.8,44.2,22.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Rice (white),grains,130,2.7,28,0.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Assamese Fenugreek seed,spice,434,14.2,33.4,5.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Bengali Almond,nuts_seeds,41,19.3,13.7,47.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati North Indian Bengali Almond,nuts_seeds,491,16.6,73.6,4.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi Bengali Almond,nuts_seeds,128,4.9,47.1,26.2,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Bay leaf,spice,425,17.4,59.7,11.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali North Indian Jowar (sorghum),grains,192,1.5,50.7,26.5,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Maharashtrian Punjabi Black pepper,spice,218,18.1,28,36.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Rice (white),grains,130,2.7,28,0.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Kheer (rice pudding),sweet,171,4.7,11.7,9.9,Sweet,Heating,Sweet,Increases Kapha and Pitta
North Indian Bajra (pearl millet),grains,176,15.2,52.4,8.9,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Assamese Tender coconut water,beverage,525,9.3,45.1,29,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian Curry leaf powder,spice,598,12.9,78.9,16.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Curry leaf powder,spice,343,3,5.5,22.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Banana (ripe),fruit,330,15.9,47.3,17.6,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
North Indian Gujarati Nutmeg,spice,95,6.2,36.2,2.8,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Punjabi Paneer,dairy,313,1.5,69.1,42.8,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Bottle gourd (lauki),vegetable,539,7.7,46.4,47.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Bengali Bengali Mustard oil,oil,62,9,64.8,32.6,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Assamese Mustard oil,oil,884,0,0,100,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Maharashtrian North Indian Lemon water,beverage,349,12.1,40.1,47.9,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Assamese Carom seed (ajwain),spice,481,2.1,71.9,17.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Bengali Bengali Mustard oil,oil,106,10.1,13.8,12.4,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Maharashtrian Gulab jamun,sweet,310,6,40,12,Sweet,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Hyderabadi Curry leaf powder,spice,468,19.8,41.9,30.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,392,7.5,22.6,20.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Gujarati Sesame oil,oil,366,13.6,4.2,31.5,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Punjabi Cashew,nuts_seeds,362,1.3,7.6,33.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Paneer,dairy,310,5,68.1,48.2,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Hyderabadi Ragi (finger millet),grains,173,6.7,46.6,7.1,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Assamese Cashew,nuts_seeds,378,6.2,52.5,33.1,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Punjabi Maharashtrian Paneer,dairy,152,11.9,75,15.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
North Indian Rice (brown),grains,405,12.9,26.3,6.4,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Maharashtrian Gulab jamun,sweet,559,1.9,53.6,25.4,Sweet,Heating,Sweet,Increases Kapha and Pitta
North Indian Tamarind,spice,38,7.3,14.4,10.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Buttermilk (chaas),dairy,517,3.8,80,7.7,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Gujarati Green chilli,spice,322,16.9,8.1,38.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Hyderabadi Curry leaf powder,spice,559,0.8,26.9,38.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Bitter gourd (karela),vegetable,154,11.9,12.3,9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Kashmiri South Indian Papaya,fruit,189,14.4,3.5,18.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kashmiri Almond,nuts_seeds,579,21.2,21.6,49.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,263,19.4,48.8,37.6,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
North Indian Orange,fruit,479,4.7,19.1,48.3,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian North Indian Bajra (pearl millet),grains,500,18.1,15.5,33.9,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Punjabi Mustard greens (sarson),vegetable,471,9.2,22.5,19.1,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Kashmiri Gujarati Fenugreek seed,spice,560,8.4,13,10,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Rajasthani Paneer,dairy,161,17.5,4.2,24,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
North Indian North Indian Banana (ripe),fruit,400,11.1,8.2,42.3,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Curd (yogurt),dairy,147,5.7,61,13.6,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Rajasthani Rajasthani Paneer,dairy,545,2.9,35,47.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
