Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
Bottle gourd (lauki),vegetable,14.1,0.55,2.62,0.21,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Bitter gourd (karela),vegetable,16.1,1.05,3.54,0.35,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Okra (bhindi),vegetable,31.7,1.85,7.91,0.08,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Brinjal (eggplant),vegetable,25.3,1.13,5.2,0.22,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Tomato,vegetable,18.2,0.98,3.28,0.07,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Carrot,vegetable,42.1,0.93,10.15,0.23,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Potato,vegetable,74.4,2.04,17.3,0.03,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Turmeric (haldi),spice,341.1,10.07,62.3,3.45,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Cumin (jeera),spice,356.7,18.92,47.27,21.02,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Coriander (dhaniya),spice,24.1,2.17,4.11,0.69,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Mustard seed,spice,501.8,24.53,26.6,34.13,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Fenugreek seed,spice,321.8,23.63,58.96,6.77,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Asafoetida (hing),spice,320.2,0.15,0,0.27,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Black pepper,spice,263,9.69,59.89,3.41,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Almond,nuts_seeds,572.5,22.41,22.21,49.65,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Cashew,nuts_seeds,529.6,15.99,29.39,46.53,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Peanut (groundnut),nuts_seeds,573.1,23.23,16.27,50.53,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Sesame seed (til),nuts_seeds,547.7,17.92,23.58,45.72,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Flaxseed,nuts_seeds,543.6,19.12,30.78,45.31,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Mustard oil,oil,823.1,0,0.26,103.6,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Coconut oil,oil,915,0.39,0.29,107.95,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Groundnut oil,oil,926.2,0.07,0,105.31,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Sesame oil,oil,849.8,0,0,100.57,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Samosa,snack,292.3,5.1,32.28,12.42,Mixed,Heating,Pungent,Increases Kapha and Pitta
Pakora,snack,263.6,7.61,30.12,12.94,Mixed,Heating,Pungent,Increases Kapha and Pitta
Idli,snack,55.9,2.53,11.67,0.42,Mixed,Heating,Pungent,Increases Kapha and Pitta
Dosa,snack,168.4,4.17,30.47,3.76,Mixed,Heating,Pungent,Increases Kapha and Pitta
Poha,snack,116.8,2.64,26.89,0.39,Mixed,Heating,Pungent,Increases Kapha and Pitta
Upma,snack,151.7,4.46,27.82,6.05,Mixed,Heating,Pungent,Increases Kapha and Pitta
Paratha (plain),snack,282,7.3,43.72,9.54,Mixed,Heating,Pungent,Increases Kapha and Pitta
Chapati,snack,119.7,3.72,18.49,1.92,Mixed,Heating,Pungent,Increases Kapha and Pitta
Gulab jamun,sweet,342.9,6.5,36.35,11.59,Sweet,Heating,Sweet,Increases Kapha and Pitta
Jalebi,sweet,478.5,2.36,71.86,18.98,Sweet,Heating,Sweet,Increases Kapha and Pitta
Ladoo (besan),sweet,410.1,6.97,40.28,23.21,Sweet,Heating,Sweet,Increases Kapha and Pitta
Kheer (rice pudding),sweet,138.2,2.88,21.96,4.5,Sweet,Heating,Sweet,Increases Kapha and Pitta
Tea (chai),beverage,1,0.11,0.82,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Coffee,beverage,2.1,0.1,0,0.05,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Lassi (sweet),beverage,121.2,3.33,15.06,4.87,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Tender coconut water,beverage,19.1,0.77,4.49,0.08,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Lemon water,beverage,5.5,0,1.22,0.06,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Rice (scented),fruit,575,24.51,15.9,47.5,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Rice (sela),fruit,91.2,1.5,23.49,0.53,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Wheat flour (sifted),fruit,60.6,2.46,12.8,0.46,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Black chickpea (kala chana),fruit,55.6,2.29,12.75,0.46,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Green mango (unripe),fruit,27,2.93,5.34,0.64,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Tamarind,fruit,568.1,17.91,29.81,47.28,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Raw banana,fruit,346.7,25.56,64.7,0.8,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Sweet potato,vegetable,79.6,1.95,17.33,0.09,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Yam (suran),vegetable,569.7,27.03,15.31,56.41,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Drumstick (moringa),fruit,18,0.58,4.28,0.28,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Breadfruit,fruit,597.1,22.27,21.58,46.77,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Watermelon,fruit,365.4,17.97,64.57,5.94,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Muskmelon,fruit,847.5,0,0.21,96.05,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bitter gourd (small),vegetable,17.3,0.92,4.02,0.15,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Ridge gourd (turai),vegetable,48.8,0.52,11.87,0,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Pointed gourd (parwal),vegetable,58.8,3.44,4.86,3.64,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Snake gourd (chichinda),vegetable,135.6,2.57,27.97,0.2,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Colocasia (arbi),fruit,346.7,24.42,59.12,1.51,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Beetroot,vegetable,96.4,1.57,22.85,0.64,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Cabbage,vegetable,338.3,12.78,72.97,2.5,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Cauliflower,vegetable,355.7,11.73,73.11,2.38,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Green peas,fruit,346.4,24.77,65.49,6.06,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Snow peas,fruit,14.6,0.62,4.49,0.12,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Broad bean,fruit,253.9,17.42,0.14,20.03,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Lotus stem (kamal kakdi),vegetable,63.5,0.82,17.35,0.59,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Saffron,fruit,377.1,20.03,56.77,4.65,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Star anise,fruit,4.7,0.28,1.89,0,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Cardamom,fruit,60.3,0.94,16.88,0.52,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Clove,fruit,86.5,1.33,23.01,0.6,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Nutmeg,fruit,47.9,4.62,7.57,0.59,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Mango pickle,fruit,324.9,23.95,60.48,5.9,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Lemon pickle,fruit,48,0.43,14.28,0.13,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Amla (Indian gooseberry),fruit,140.1,2.72,29.98,0.31,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Jamun (black plum),fruit,19.9,1.08,3.78,0.3,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Chikoo (sapota),fruit,53.7,0.44,13.19,0.27,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gooseberry,fruit,279,15.73,0.61,17.83,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Kokum,fruit,18.7,0.77,4.45,0.21,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Drumstick leaves,fruit,18.4,0.86,3.15,0.19,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Curry leaves,fruit,43.8,0.5,9.64,0.29,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Betel leaf (paan),vegetable,56.1,3.37,5.18,3.08,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
South Indian Milk (cow),dairy,58.5,2.93,4.97,3.52,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Tomato,vegetable,17.1,0.95,3.63,0.12,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Bengali Spinach (palak),vegetable,22.9,2.66,3.32,0.28,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Black gram,legumes,374.5,22.06,53.65,1.52,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Urad dal,legumes,345.1,24.56,60.14,1.68,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
South Indian Samosa,snack,255.1,5.72,30.49,11.74,Mixed,Heating,Pungent,Increases Kapha and Pitta
North Indian Jowar (sorghum),grains,304.1,11.54,79.11,3.24,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Custard apple,fruit,96.7,1.43,27.25,0.71,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Ladoo (besan),sweet,427.2,6.46,45.18,25.36,Sweet,Heating,Sweet,Increases Kapha and Pitta
Assamese Jowar (sorghum),grains,316.6,9.22,69.21,3.05,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Pomegranate,fruit,90,1.82,18.99,1.35,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Sesame oil,oil,887.4,0,0.76,103.77,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Hyderabadi Dosa,snack,159.3,4.33,25.58,3.25,Mixed,Heating,Pungent,Increases Kapha and Pitta
South Indian Tomato,vegetable,18.8,1.09,3.2,0.26,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Maharashtrian Mango (ripe),fruit,58,0.75,14.47,0.31,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Asafoetida (hing),spice,320.8,0,0.14,0,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Banana (ripe),fruit,87.9,1.01,22.2,0.38,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
North Indian Asafoetida (hing),spice,328,0,0.05,0.08,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Urad dal,legumes,318,26.09,55.69,1.66,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani Kidney bean (rajma),legumes,320.3,20.53,54.14,0.8,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Black pepper,spice,258.3,9.65,66.45,2.92,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Okra (bhindi),vegetable,32.9,1.72,7.17,0.2,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Poha,snack,124.4,2.52,29.69,0.24,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Curd (yogurt),dairy,63.5,3.18,4.96,3.63,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Moong dal,legumes,304.1,22.47,60.01,1.38,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Potato,vegetable,78.4,1.9,17.09,0.08,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Cashew,nuts_seeds,585.3,18.57,30.81,42.63,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Pineapple,fruit,48.8,0.46,13.31,0.06,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Ragi (finger millet),grains,332.8,8.51,75.76,1.47,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
North Indian Potato,vegetable,81.6,1.93,14.92,0,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Fenugreek (methi),vegetable,44.4,4.28,8.11,0.77,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Sesame seed (til),nuts_seeds,582.4,17.39,24.67,42.01,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Poha,snack,131.5,2.76,25.52,0.41,Mixed,Heating,Pungent,Increases Kapha and Pitta
Rajasthani Mango (ripe),fruit,61,0.76,15.57,0.63,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Punjabi Almond,nuts_seeds,584.3,21.62,21,46.93,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Brinjal (eggplant),vegetable,26,0.91,6.04,0.15,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Guava,fruit,69.6,2.67,14.87,0.95,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Bottle gourd (lauki),vegetable,13.8,0.5,3.18,0.24,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Maharashtrian Upma,snack,164,4.17,28.41,6.24,Mixed,Heating,Pungent,Increases Kapha and Pitta
Assamese Brinjal (eggplant),vegetable,25.5,1.19,5.61,0.08,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Spinach (palak),vegetable,21,3.25,3.93,0.39,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Chickpea (kabuli),legumes,369.1,17.29,69.95,6.05,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Rajasthani Bajra (pearl millet),grains,363,12.27,68.93,5.08,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Coconut oil,oil,856.7,0.05,0.94,109.42,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Punjabi Chana dal,legumes,388.7,20.14,56.44,4.46,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Coriander (dhaniya),spice,23.1,2.28,2.85,0.65,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Jalebi,sweet,446.4,2.41,65.75,15.91,Sweet,Heating,Sweet,Increases Kapha and Pitta
Bengali Poha,snack,135.4,2.62,25.83,0.17,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali Okra (bhindi),vegetable,32.4,2.15,7.37,0.05,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Assamese Bottle gourd (lauki),vegetable,13.8,0.57,2.05,0.19,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Gujarati Lassi (sweet),beverage,118.6,3.69,16.66,5.39,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Hyderabadi Samosa,snack,258.5,5.47,35.79,14.06,Mixed,Heating,Pungent,Increases Kapha and Pitta
Rajasthani Coconut oil,oil,892.6,0,0.1,98.99,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Kashmiri Kheer (rice pudding),sweet,136,3.06,19.96,4.81,Sweet,Heating,Sweet,Increases Kapha and Pitta
South Indian Urad dal,legumes,334.6,25.21,57.11,1.77,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Bengali Milk (cow),dairy,52,3.48,5.62,2.82,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Maharashtrian Chana dal,legumes,353.8,20.38,54.93,4.25,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Sesame seed (til),nuts_seeds,541.2,20.18,24.82,54.12,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Upma,snack,163.7,4.09,26.15,5.9,Mixed,Heating,Pungent,Increases Kapha and Pitta
Assamese Bitter gourd (karela),vegetable,16,1.07,3.88,0.16,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Rice (brown),grains,114.9,2.69,22.5,1.02,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Potato,vegetable,72.8,2.1,17.6,0.07,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Kashmiri Mango (ripe),fruit,61,0.67,15.83,0.38,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Rice (white),grains,126.6,2.93,26.82,0.16,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Ladoo (besan),sweet,396.5,7.34,46.16,28.07,Sweet,Heating,Sweet,Increases Kapha and Pitta
North Indian Ladoo (besan),sweet,385.2,7.95,50.63,24.83,Sweet,Heating,Sweet,Increases Kapha and Pitta
Assamese Turmeric (haldi),spice,303.5,10.01,66.95,3.55,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Pomegranate,fruit,83.5,1.72,18.59,1.19,Sweet/Sour,Cooling/Heating (varies),Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Bengali Peanut (groundnut),nuts_seeds,575.7,22.27,14.8,51.76,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Tender coconut water,beverage,19.2,0.68,3.71,0.23,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Hyderabadi Rice (white),grains,126.5,2.53,28.33,0.2,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Mustard seed,spice,518.4,22.55,29.84,37.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Wheat (atta),grains,331.2,14.24,79.19,2.68,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Cashew,nuts_seeds,502.1,16.34,29.07,43.98,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
South Indian Mustard greens (sarson),vegetable,27.7,2.73,4.79,0.62,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Mustard greens (sarson),vegetable,26.2,2.57,4.24,0.56,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
North Indian Moong dal,legumes,330.1,26.02,54.7,1.66,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
North Indian Gulab jamun,sweet,317.6,6.09,37.94,12.59,Sweet,Heating,Sweet,Increases Kapha and Pitta
Bengali Lassi (sweet),beverage,116.5,3.53,17.3,4.97,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Paneer,dairy,280.2,17.27,1.18,23.38,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Bengali Lemon water,beverage,4.8,0.28,1.65,0,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Assamese Okra (bhindi),vegetable,34,2.05,7.81,0.04,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Samosa,snack,252.5,5.88,30.86,14.61,Mixed,Heating,Pungent,Increases Kapha and Pitta
Punjabi Tender coconut water,beverage,19.2,0.57,3.89,0.26,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Maharashtrian Cumin (jeera),spice,385.5,19.34,46.41,23.02,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
